,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
0,0.001,0.472795215337959,0.610032362459547,0.472795215337959,0.38996763754045305,56.8618573560794
1,0.003,0.45662726393570374,0.5992448759439051,0.45662726393570374,0.4007551240560949,57.130880600410066
2,0.005,0.39519468203967817,0.5393743257820928,0.39519468203967817,0.46062567421790723,57.208982187120725
3,0.007,0.3306543231900251,0.4854368932038835,0.3306543231900251,0.5145631067961165,57.73912850069292
4,0.009,0.2792586402771649,0.4377022653721683,0.2792586402771649,0.5622977346278317,57.92218125475017
5,0.011,0.2314026308129982,0.38969795037756205,0.2314026308129982,0.610302049622438,57.914765978228196
6,0.013,0.19612795403119043,0.3511326860841424,0.19612795403119043,0.6488673139158576,57.7502366026476
7,0.015,0.16323809702648653,0.3098705501618123,0.16323809702648653,0.6901294498381877,57.33162265676629
8,0.017,0.13425408658585822,0.2726537216828479,0.13425408658585822,0.7273462783171522,56.91998175484948
9,0.019,0.11426479010769246,0.24973031283710895,0.11426479010769246,0.750269687162891,56.77327613647083
10,0.021,0.09440694038889463,0.22680690399137002,0.09440694038889463,0.77319309600863,56.61999818012377
11,0.023,0.07785403776277615,0.20334412081984898,0.07785403776277615,0.796655879180151,56.274504152853645
12,0.025,0.0648971429107946,0.18635382955771304,0.0648971429107946,0.8136461704422869,56.07283433234592
13,0.027,0.05751734627770945,0.1739482200647249,0.05751734627770945,0.8260517799352751,55.821543689350776
14,0.029,0.04678565728074211,0.15129449838187703,0.04678565728074211,0.848705501618123,55.225442055056746
15,0.031,0.0410958904109589,0.1388888888888889,0.0410958904109589,0.8611111111111112,54.8896499238965
16,0.033,0.0354342907038974,0.1297195253505933,0.0354342907038974,0.8702804746494067,54.7142617323348
17,0.035,0.03030786708854817,0.11596548004314995,0.03030786708854817,0.88403451995685,54.28288064773009
18,0.037,0.02697475283314712,0.10436893203883495,0.02697475283314712,0.8956310679611651,53.86970896028439
19,0.039,0.02277784558761396,0.09466019417475728,0.02277784558761396,0.9053398058252428,53.59411742935716
20,0.041,0.019782737284873293,0.08522114347357065,0.019782737284873293,0.9147788565264293,53.27192030943487
21,0.043,0.01689090857877886,0.07820927723840346,0.01689090857877886,0.9217907227615966,53.06591843298123
22,0.045,0.014853483808575962,0.07281553398058252,0.014853483808575962,0.9271844660194175,52.898102508600324
23,0.047,0.013867633113316496,0.06715210355987054,0.013867633113316496,0.9328478964401294,52.6642235223277
24,0.049,0.013247955533439116,0.06445523193096009,0.013247955533439116,0.93554476806904,52.560363819876045
25,0.051,0.011811430234632466,0.0593311758360302,0.011811430234632466,0.9406688241639698,52.375987280069886
