,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
0,0.001,0.07578844582985156,0.1866235167206041,0.07578844582985156,0.8133764832793959,55.54175354453763
1,0.003,0.06508492399560592,0.16909385113268607,0.06508492399560592,0.830906148867314,55.200446356854
2,0.005,0.03577229665655778,0.12108953613807982,0.03577229665655778,0.8789104638619202,54.2658619740761
3,0.007,0.019942351206962923,0.08656957928802589,0.019942351206962923,0.9134304207119741,53.33136140405315
4,0.009,0.012844226201094764,0.07173678532901834,0.012844226201094764,0.9282632146709816,52.94462795639618
5,0.011,0.00889143436581633,0.0628371089536138,0.00889143436581633,0.9371628910463862,52.69728372938987
6,0.013,0.006919732975297398,0.052319309600863,0.006919732975297398,0.947680690399137,52.26997883127828
7,0.015,0.005661599707061508,0.0447680690399137,0.005661599707061508,0.9552319309600863,51.95532346664261
8,0.017,0.005079478344146394,0.03748651564185545,0.005079478344146394,0.9625134843581445,51.62035186488546
9,0.019,0.004140572920089759,0.03398058252427184,0.004140572920089759,0.9660194174757282,51.49200048020911
10,0.021,0.0036053968283774776,0.029395900755124056,0.0036053968283774776,0.9706040992448759,51.28952519633733
11,0.023,0.0030608316824246294,0.0261596548004315,0.0030608316824246294,0.9738403451995685,51.15494115590034
12,0.025,0.0027134366755236744,0.02400215749730313,0.0027134366755236744,0.9759978425026968,51.064436041088975
13,0.027,0.002619546133118011,0.022923408845738943,0.002619546133118011,0.977076591154261,51.01519313563105
14,0.029,0.0022533730177359233,0.021035598705501618,0.0022533730177359233,0.9789644012944984,50.93911128438829
15,0.031,0.0020749809871651627,0.018878101402373247,0.0020749809871651627,0.9811218985976268,50.8401560207604
16,0.033,0.0018590327396321368,0.017529665587918016,0.0018590327396321368,0.982470334412082,50.78353164241429
17,0.035,0.0016149173293774118,0.01564185544768069,0.0016149173293774118,0.9843581445523193,50.70134690591516
18,0.037,0.0015491939496934473,0.014563106796116505,0.0015491939496934473,0.9854368932038835,50.65069564232115
19,0.039,0.0012769113767170234,0.01267529665587918,0.0012769113767170234,0.9873247033441208,50.569919263958106
20,0.041,0.0011454646173490945,0.011596548004314994,0.0011454646173490945,0.988403451995685,50.5225541693483
21,0.043,0.0010703521834245636,0.010517799352750809,0.0010703521834245636,0.9894822006472492,50.47237235846631
22,0.045,0.0009576835325377674,0.009439050701186624,0.0009576835325377674,0.9905609492988133,50.42406835843244
23,0.047,0.0009576835325377674,0.009169363538295576,0.0009576835325377674,0.9908306364617044,50.41058400028789
24,0.049,0.0009576835325377674,0.008090614886731391,0.0009576835325377674,0.9919093851132686,50.35664656770968
25,0.051,0.000863792990132104,0.007551240560949299,0.000863792990132104,0.9924487594390508,50.33437237854086
26,0.053,0.0008168477189292722,0.007011866235167206,0.0008168477189292722,0.9929881337648327,50.3097509258119
27,0.055,0.0008074586646887059,0.00674217907227616,0.0008074586646887059,0.9932578209277239,50.29673602037937
