,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
0,0.001,0.6365366516783436,0.7894846651366576,0.6365366516783436,0.21051533486334237,57.6474006729157
1,0.003,0.6192756805744362,0.7782182349259337,0.6192756805744362,0.22178176507406636,57.94712771757487
2,0.005,0.5868521035937119,0.7521385353640726,0.5868521035937119,0.2478614646359274,58.26432158851804
3,0.007,0.5533619157168252,0.7275192989776758,0.5533619157168252,0.27248070102232425,58.707869163042524
4,0.009,0.5128446442887518,0.6993532234508658,0.5128446442887518,0.30064677654913413,59.32542895810571
5,0.011,0.47499041444456064,0.6734821614854997,0.47499041444456064,0.32651783851450034,59.924587352046956
6,0.013,0.4413120011154101,0.6440642603797204,0.4413120011154101,0.3559357396202796,60.13761296321552
7,0.015,0.3978528355815818,0.6123513457124974,0.3978528355815818,0.3876486542875026,60.72492550654578
8,0.017,0.3687197183589529,0.596286250782391,0.3687197183589529,0.403713749217609,61.37832662117191
9,0.019,0.3432953396772282,0.5781347798873357,0.3432953396772282,0.4218652201126643,61.74197201050538
10,0.021,0.31375091498483737,0.5487168787815564,0.31375091498483737,0.45128312121844355,61.74829818983596
11,0.023,0.2854473840147792,0.5247235551846443,0.2854473840147792,0.47527644481535575,61.96380855849325
12,0.025,0.26288821499529436,0.5046943459211349,0.26288821499529436,0.495305654078865,62.09030654629203
13,0.027,0.24265049322039806,0.48779470060504904,0.24265049322039806,0.512205299394951,62.25721036923255
14,0.029,0.21999372581825788,0.46630502816607555,0.21999372581825788,0.5336949718339244,62.31556511739088
15,0.031,0.2049078043849559,0.4510744836219487,0.2049078043849559,0.5489255163780513,62.30833396184964
16,0.033,0.18569486562794102,0.4362612142708116,0.18569486562794102,0.5637387857291885,62.528317432143524
17,0.035,0.1721496043779846,0.4216565825161694,0.1721496043779846,0.5783434174838306,62.47534890690925
18,0.037,0.1603680853288717,0.4087210515334863,0.1603680853288717,0.5912789484665136,62.41764831023073
19,0.039,0.14728293074000487,0.3934905069893595,0.14728293074000487,0.6065094930106405,62.31037881246773
20,0.041,0.1361846003694796,0.38138952639265594,0.1361846003694796,0.618610473607344,62.260246301158816
21,0.043,0.12442399525950713,0.36845399540997287,0.12442399525950713,0.6315460045900271,62.20150000752329
22,0.045,0.1137578862978842,0.35530982683079493,0.1137578862978842,0.6446901731692051,62.077597026645535
23,0.047,0.10560842134616055,0.34571249739203,0.10560842134616055,0.65428750260797,62.00520380229347
24,0.049,0.09821882951653944,0.33507197997079075,0.09821882951653944,0.6649280200292093,61.842657522712564
